Ranking,Rider,Team,Points
1,Pogačar Tadej,UAE Team Emirates,3199.0
2,van Aert Wout,Jumbo-Visma,2997.0
3,Roglič Primož,Jumbo-Visma,2512.0
4,Evenepoel Remco,Quick-Step Alpha Vinyl Team,2339.0
5,Vingegaard Jonas,Jumbo-Visma,1954.0
6,Vlasov Aleksandr,BORA - hansgrohe,1711.0
7,Küng Stefan,Groupama - FDJ,1364.0
8,Philipsen Jasper,Alpecin-Deceuninck,1362.0
9,Yates Adam,INEOS Grenadiers,1324.0
10,Jakobsen Fabio,Quick-Step Alpha Vinyl Team,1299.0
11,van der Poel Mathieu,Alpecin-Deceuninck,1228.0
12,Quintana Nairo,Team Arkéa Samsic,1208.0
13,Hayter Ethan,INEOS Grenadiers,1203.0
14,Kristoff Alexander,Intermarché - Wanty - Gobert Matériaux,1202.0
15,Bilbao Pello,Bahrain - Victorious,1194.0
16,Alaphilippe Julian,Quick-Step Alpha Vinyl Team,1179.0
17,Pedersen Mads,Trek - Segafredo,1177.0
18,Valverde Alejandro,Movistar Team,1169.0
19,Carapaz Richard,INEOS Grenadiers,1145.0
20,Almeida João,UAE Team Emirates,1121.0
21,Cosnefroy Benoît,AG2R Citroën Team,1106.0
22,Higuita Sergio,BORA - hansgrohe,1095.0
23,Démare Arnaud,Groupama - FDJ,1093.0
24,Gaudu David,Groupama - FDJ,1072.0
25,Martínez Daniel Felipe,INEOS Grenadiers,1064.0
26,Mohorič Matej,Bahrain - Victorious,1032.0
27,Bardet Romain,Team DSM,1031.0
28,van Poppel Danny,BORA - hansgrohe,1030.0
29,van Baarle Dylan,INEOS Grenadiers,1023.0
30,Thomas Geraint,INEOS Grenadiers,992.0
31,Girmay Biniam,Intermarché - Wanty - Gobert Matériaux,977.0
32,Hindley Jai,BORA - hansgrohe,972.0
33,Matthews Michael,Team BikeExchange - Jayco,971.0
34,Hofstetter Hugo,Team Arkéa Samsic,942.0
35,De Lie Arnaud,Lotto Soudal,917.0
36,Teuns Dylan,Israel - Premier Tech,911.0
37,Kooij Olav,Jumbo-Visma,910.0
38,McNulty Brandon,UAE Team Emirates,899.0
39,Yates Simon,Team BikeExchange - Jayco,898.0
40,Woods Michael,Israel - Premier Tech,883.0
41,Laporte Christophe,Jumbo-Visma,879.0
42,Stuyven Jasper,Trek - Segafredo,876.0
43,Merlier Tim,Alpecin-Deceuninck,871.0
44,Martin Guillaume,Cofidis,865.0
45,Mas Enric,Movistar Team,853.0
46,Colbrelli Sonny,Bahrain - Victorious,852.0
47,Madouas Valentin,Groupama - FDJ,849.0
48,Barguil Warren,Team Arkéa Samsic,845.0
49,Caruso Damiano,Bahrain - Victorious,819.0
50,Powless Neilson,EF Education-EasyPost,808.0
51,Hirschi Marc,UAE Team Emirates,790.0
52,Trentin Matteo,UAE Team Emirates,767.0
53,Mollema Bauke,Trek - Segafredo,759.0
54,Groenewegen Dylan,Team BikeExchange - Jayco,756.0
55,Arensman Thymen,Team DSM,756.0
56,Ganna Filippo,INEOS Grenadiers,755.0
57,Rodríguez Carlos,INEOS Grenadiers,742.4
58,Dainese Alberto,Team DSM,742.0
59,Nizzolo Giacomo,Israel - Premier Tech,732.0
60,Haig Jack,Bahrain - Victorious,729.0
61,Pinot Thibaut,Groupama - FDJ,720.0
62,Pidcock Thomas,INEOS Grenadiers,716.0
63,Benoot Tiesj,Jumbo-Visma,706.0
64,Cavendish Mark,Quick-Step Alpha Vinyl Team,702.0
65,Wellens Tim,Lotto Soudal,692.0
66,Meintjes Louis,Intermarché - Wanty - Gobert Matériaux,663.0
67,Lutsenko Alexey,Astana Qazaqstan Team,658.0
68,Ulissi Diego,UAE Team Emirates,658.0
69,Rota Lorenzo,Intermarché - Wanty - Gobert Matériaux,651.0
70,O'Connor Ben,AG2R Citroën Team,649.0
71,Sénéchal Florian,Quick-Step Alpha Vinyl Team,640.0
72,Sivakov Pavel,INEOS Grenadiers,634.0
73,Storer Michael,Groupama - FDJ,629.0
74,Hirt Jan,Intermarché - Wanty - Gobert Matériaux,620.0
75,Cort Magnus,EF Education-EasyPost,617.0
76,Ayuso Juan,UAE Team Emirates,614.4
77,Johannessen Tobias Halland,Uno-X Pro Cycling Team,607.2
78,Ackermann Pascal,UAE Team Emirates,606.0
79,Mozzato Luca,B&B Hotels - KTM,578.0
80,Kuss Sepp,Jumbo-Visma,570.0
81,Asgreen Kasper,Quick-Step Alpha Vinyl Team,569.0
82,Albanese Vincenzo,EOLO-Kometa,568.0
83,Herrada Jesús,Cofidis,563.0
84,Valgren Michael,EF Education-EasyPost,560.0
85,Bauhaus Phil,Bahrain - Victorious,556.0
86,Covi Alessandro,UAE Team Emirates,552.0
87,Battistella Samuele,Astana Qazaqstan Team,551.0
88,Landa Mikel,Bahrain - Victorious,548.0
89,Nibali Vincenzo,Astana Qazaqstan Team,548.0
90,Izagirre Ion,Cofidis,545.0
91,Gaviria Fernando,UAE Team Emirates,540.0
92,Champoussin Clément,AG2R Citroën Team,540.0
93,Sagan Peter,TotalEnergies,534.0
94,Mäder Gino,Bahrain - Victorious,533.0
95,Thomas Benjamin,Cofidis,528.0
96,Bouhanni Nacer,Team Arkéa Samsic,527.0
97,Simon Julien,TotalEnergies,526.0
98,Consonni Simone,Cofidis,526.0
99,Campenaerts Victor,Lotto Soudal,523.0
100,Majka Rafał,UAE Team Emirates,518.0
